Confirmed,Active,Recovered,Deaths,DaysSinceStart
2.1264367816091956,1.9540229885057472,0.10727969348659004,0.06513409961685823,0.0
2.5057471264367814,2.32183908045977,0.11494252873563218,0.06896551724137931,1.0
3.6053639846743293,3.367816091954023,0.13793103448275862,0.09961685823754789,2.0
5.494252873563219,5.183908045977011,0.14942528735632185,0.16091954022988506,3.0
8.114942528735632,7.7011494252873565,0.19923371647509577,0.21455938697318008,4.0
11.21455938697318,10.666666666666666,0.23371647509578544,0.31417624521072796,5.0
21.371647509578544,20.45977011494253,0.4099616858237548,0.5019157088122606,6.0
23.624521072796934,22.6360153256705,0.4789272030651341,0.5095785440613027,7.0
31.547892720306514,30.35249042145594,0.5402298850574713,0.6551724137931034,8.0
38.03448275862069,36.37931034482759,0.8390804597701149,0.8160919540229885,9.0
46.122605363984675,44.053639846743295,1.0766283524904214,0.9923371647509579,10.0
64.31800766283524,61.172413793103445,1.7586206896551724,1.3869731800766283,11.0
76.19540229885058,72.24904214559388,2.314176245210728,1.632183908045977,12.0
91.5632183908046,86.53256704980843,3.1455938697318007,1.8850574712643677,13.0
105.91187739463602,99.64750957854406,4.103448275862069,2.160919540229885,14.0
118.01532567049809,110.15325670498085,5.432950191570881,2.42911877394636,15.0
131.54789272030652,121.50191570881226,7.291187739463601,2.7547892720306515,16.0
142.02298850574712,129.4712643678161,9.46360153256705,3.0881226053639845,17.0
153.6206896551724,138.4367816091954,11.71264367816092,3.471264367816092,18.0
163.3448275862069,145.23371647509578,14.229885057471265,3.8812260536398466,19.0
171.16858237547893,149.9808429118774,16.92337164750958,4.264367816091954,20.0
178.39463601532566,155.53256704980842,18.578544061302683,4.283524904214559,21.0
230.6743295019157,202.70114942528735,22.720306513409962,5.252873563218391,22.0
255.51724137931035,220.51340996168582,29.168582375478927,5.835249042145594,23.0
263.46743295019155,222.97701149425288,34.10727969348659,6.383141762452107,24.0
271.56704980842915,225.24904214559388,39.53639846743295,6.781609195402299,25.0
278.9846743295019,226.03831417624522,45.78927203065134,7.157088122605364,26.0
285.8582375478927,225.70114942528735,52.46360153256705,7.693486590038314,27.0
287.4712643678161,220.35632183908046,58.980842911877396,8.134099616858238,28.0
289.56704980842915,214.41379310344828,66.5478927203065,8.60536398467433,29.0
291.97701149425285,214.52107279693487,68.83524904214559,8.620689655172415,30.0
298.7241379310345,205.5977011494253,83.71264367816092,9.413793103448276,31.0
299.9616858237548,205.0536398467433,85.455938697318,9.452107279693486,32.0
302.1226053639847,199.92337164750958,92.13409961685824,10.065134099616857,33.0
305.39080459770116,192.904214559387,102.11494252873563,10.371647509578544,34.0
309.08045977011494,187.0727969348659,111.40613026819923,10.601532567049809,35.0
314.30651340996167,181.24521072796935,122.29501915708812,10.766283524904214,36.0
319.5823754789272,173.3256704980843,135.272030651341,10.984674329501916,37.0
326.8429118773946,168.7969348659004,146.7969348659004,11.24904214559387,38.0
335.97701149425285,166.63601532567048,157.88505747126436,11.455938697318008,39.0
343.5402298850575,162.8352490421456,168.90804597701148,11.796934865900383,40.0
353.41379310344826,162.4750957854406,178.8544061302682,12.084291187739463,41.0
362.22222222222223,159.66283524904213,190.11111111111111,12.448275862068966,42.0
372.91570881226056,159.96934865900383,200.1417624521073,12.804597701149426,43.0
388.02298850574715,166.8582375478927,207.93103448275863,13.233716475095786,44.0
403.4942528735632,172.40996168582376,217.4712643678161,13.613026819923371,45.0
418.64367816091954,177.68965517241378,226.40613026819923,14.547892720306514,46.0
433.58620689655174,185.0344827586207,233.29885057471265,15.25287356321839,47.0
452.8352490421456,195.8927203065134,240.6206896551724,16.32183908045977,48.0
482.1954022988506,215.08045977011494,249.4750957854406,17.63984674329502,49.0
504.2260536398467,230.88122605363984,254.53639846743295,18.808429118773947,50.0
559.4176245210728,276.7931034482759,261.911877394636,20.71264367816092,51.0
601.9693486590038,308.6666666666667,270.99233716475095,22.310344827586206,52.0
644.6743295019157,335.85057471264366,284.0574712643678,24.766283524904214,53.0
700.8390804597701,381.544061302682,291.92337164750955,27.371647509578544,54.0
761.5210727969348,428.6015325670498,302.46743295019155,30.452107279693486,55.0
836.5632183908046,490.69348659003833,311.9808429118774,33.888888888888886,56.0
943.528735632184,587.1494252873563,318.2528735632184,38.12643678160919,57.0
1056.9693486590038,685.55938697318,327.62068965517244,43.78927203065134,58.0
1180.7471264367816,786.4597701149426,343.9655172413793,50.32183908045977,59.0
1308.7547892720306,884.1532567049809,367.77777777777777,56.82375478927203,60.0
1470.3065134099618,1036.5747126436781,369.5632183908046,64.16858237547893,61.0
1627.927203065134,1148.9501915708813,406.11877394636014,72.85823754789271,62.0
1822.6283524904215,1312.1379310344828,426.99233716475095,83.49808429118774,63.0
2063.854406130268,1509.816091954023,459.0191570881226,95.01915708812261,64.0
2310.597701149425,1709.7318007662834,492.367816091954,108.49808429118774,65.0
2569.8199233716473,1923.0881226053639,524.1379310344828,122.59386973180077,66.0
2798.0842911877394,2101.7969348659003,560.3869731800767,135.90038314176246,67.0
3045.743295019157,2274.32183908046,619.5670498084291,151.8544061302682,68.0
3338.5249042145592,2501.1609195402298,666.9501915708812,170.41379310344828,69.0
3630.532567049808,2713.049808429119,725.8007662835249,191.68199233716476,70.0
3942.4061302681994,2937.095785440613,789.471264367816,215.83908045977012,71.0
4261.007662835249,3175.264367816092,846.9731800766283,238.77011494252875,72.0
4569.295019157088,3384.4980842911878,923.647509578544,261.14942528735634,73.0
4844.076628352491,3588.681992337165,975.007662835249,280.3869731800766,74.0
